Date,Bank Rate
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,12
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.75
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1974,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.25
1975,11.25
1975,11.25
1975,11.25
1975,11.25
1975,11.25
1975,11.25
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,10.75
1975,10.75
1975,10.75
1975,10.75
1975,10.75
1975,10.75
1975,10.75
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.5
1975,10.25
1975,10.25
1975,10.25
1975,10.25
1975,10.25
1975,10.25
1975,10.25
1975,10.25
1975,10.25
1975,10.25
1975,10.25
1975,10.25
1975,10.25
1975,10.25
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,9.75
1975,9.75
1975,9.75
1975,9.75
1975,9.75
1975,9.75
1975,9.75
1975,9.75
1975,9.75
1975,9.75
1975,9.75
1975,9.75
1975,9.75
1975,9.75
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,10
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
